metadata_id,metadata_concept_id,metadata_type_concept_id,name,value_as_string,value_as_concept_id,value_as_number,metadata_date,metadata_datetime
1240673954,1147301,32880,Time series row count: procedure_occurrence.2001,procedure_occurrence.2001,1147301,99.0,2026-02-03,2026-02-03 21:04:01
1571824457,1147330,32880,Time series row count: measurement.2008,measurement.2008,1147330,129.0,2026-02-03,2026-02-03 21:04:31
935459800,1147508,32880,Valid column name: drug_exposure.refills,valid column name,0,,2026-02-03,2026-02-03 20:18:40
1928497171,1147339,32880,Time series row count: drug_exposure.2009,drug_exposure.2009,1147339,62.0,2026-02-03,2026-02-03 21:03:28
1316701690,1147339,32880,Time series row count: drug_exposure.2003,drug_exposure.2003,1147339,296.0,2026-02-03,2026-02-03 21:03:23
1127739114,0,32880,Target vocabulary breakdown: measurement.value_as_concept_id,SNOMED,0,2300.0,2026-02-03,2026-02-03 20:58:56
869855681,1147301,32880,Vocab harmonization table transition: procedure_occurrence to procedure_occurrence,,0,15151.0,2026-02-03,2026-02-03 20:37:14
134940269,0,32880,Source vocabulary breakdown: observation.qualifier_concept_id,Source vocabulary not captured in OMOP,0,,2026-02-03,2026-02-03 20:59:30
1450998761,1147301,32880,Vocab harmonization table transition: procedure_occurrence to condition_occurrence,,0,163.0,2026-02-03,2026-02-03 20:37:12
1265081938,1147035,32880,Valid column name: person.provider_id,valid column name,0,,2026-02-03,2026-02-03 20:18:58
890838176,1147034,32880,Valid column name: person.location_id,valid column name,0,,2026-02-03,2026-02-03 20:19:04
596324484,1147301,32880,Time series row count: procedure_occurrence.2013,procedure_occurrence.2013,1147301,185.0,2026-02-03,2026-02-03 21:04:09
1467375188,1147304,32880,Person_id referential integrity violation count: observation,observation,1147304,10.0,2026-02-03,2026-02-03 21:02:13
1623510772,1147339,32880,Time series row count: drug_exposure.2000,drug_exposure.2000,1147339,108.0,2026-02-03,2026-02-03 21:03:21
1852492208,1147301,32880,Time series row count: procedure_occurrence.2021,procedure_occurrence.2021,1147301,1981.0,2026-02-03,2026-02-03 21:04:14
411279488,1147485,32880,Valid column name: procedure_occurrence.procedure_type_concept_id,valid column name,0,,2026-02-03,2026-02-03 20:18:53
1655072669,1147028,32880,Valid column name: person.year_of_birth,valid column name,0,,2026-02-03,2026-02-03 20:18:57
1015279874,1147304,32880,Final row count: observation,observation,1147304,361.0,2026-02-03,2026-02-03 21:02:44
1137661969,1147301,32880,Vocab harmonization status: procedure_occurrence - domain check,,0,15467.0,2026-02-03,2026-02-03 20:37:16
2037954380,1147573,32880,Valid column name: measurement.unit_source_value,valid column name,0,,2026-02-03,2026-02-03 20:18:44
1724058361,756347,32880,Final row count: episode,episode,756347,0.0,2026-02-03,2026-02-03 21:02:37
1954313352,1147339,32880,Time series row count: drug_exposure.2012,drug_exposure.2012,1147339,48.0,2026-02-03,2026-02-03 21:03:30
4985577,0,32880,Invalid concept_id count: person.gender_concept_id,person.gender_concept_id,0,0.0,2026-02-03,2026-02-03 21:00:20
1798535301,0,32880,Target vocabulary breakdown: measurement.operator_concept_id,None,0,62078.0,2026-02-03,2026-02-03 20:58:47
186828569,1147575,32880,Valid column name: measurement.value_as_number,valid column name,0,,2026-02-03,2026-02-03 20:18:34
1209506124,1147301,32880,Time series row count: procedure_occurrence.1988,procedure_occurrence.1988,1147301,2.0,2026-02-03,2026-02-03 21:03:52
1928412336,0,32880,Invalid concept_id count: observation.observation_type_concept_id,observation.observation_type_concept_id,0,0.0,2026-02-03,2026-02-03 21:01:52
1411156850,1147339,32880,Time series row count: drug_exposure.2019,drug_exposure.2019,1147339,688.0,2026-02-03,2026-02-03 21:03:34
2107999437,1147304,32880,Time series row count: observation.1999,observation.1999,1147304,7.0,2026-02-03,2026-02-03 21:04:49
507604114,1147301,32880,Time series row count: procedure_occurrence.1995,procedure_occurrence.1995,1147301,214.0,2026-02-03,2026-02-03 21:03:57
810006412,1147325,32880,Date/datetime default value count: cdm_source.source_release_date,,0,0.0,2026-02-03,2026-02-03 21:00:12
756114650,1147301,32880,Vocab harmonization table transition: procedure_occurrence to observation,,0,360.0,2026-02-03,2026-02-03 20:37:13
381544498,0,32880,Target vocabulary breakdown: procedure_occurrence.procedure_concept_id,SNOMED,0,15129.0,2026-02-03,2026-02-03 20:58:13
130547535,1147339,32880,Time series row count: drug_exposure.2008,drug_exposure.2008,1147339,32.0,2026-02-03,2026-02-03 21:03:27
1352491506,1147329,32880,Date/datetime default value count: condition_era.condition_era_end_date,,0,0.0,2026-02-03,2026-02-03 21:00:07
1561215937,1147330,32880,Time series row count: measurement.2011,measurement.2011,1147330,141.0,2026-02-03,2026-02-03 21:04:33
1705494321,1147333,32880,Date/datetime default value count: condition_occurrence.condition_end_date,,0,0.0,2026-02-03,2026-02-03 20:59:41
214123528,1147301,32880,Valid row count: procedure_occurrence,,0,15750.0,2026-02-03,2026-02-03 20:21:04
2128678367,1147330,32880,Vocab harmonization same-table mapping: measurement - 1:1,,0,62072.0,2026-02-03,2026-02-03 20:37:32
1331894320,1147330,32880,Time series row count: measurement.2021,measurement.2021,1147330,6820.0,2026-02-03,2026-02-03 21:04:40
687239494,32817,32880,Type concept breakdown: observation,EHR,32817,17.0,2026-02-03,2026-02-03 20:56:52
1996305124,1147330,32880,Time series row count: measurement.2000,measurement.2000,1147330,490.0,2026-02-03,2026-02-03 21:04:26
27516530,0,32880,Source vocabulary breakdown: drug_exposure.drug_concept_id,SNOMED,0,72.0,2026-02-03,2026-02-03 20:58:01
1220625510,1147308,32880,Final row count: concept_synonym,concept_synonym,1147308,0.0,2026-02-03,2026-02-03 21:02:26
1959153465,0,32880,Target vocabulary breakdown: measurement.measurement_concept_id,LOINC,0,54098.0,2026-02-03,2026-02-03 20:58:34
927398714,0,32880,Delivery date,2025-01-01,0,,2026-02-03,2026-02-03 20:56:14
1817226999,1147565,32880,Valid column name: measurement.measurement_source_value,valid column name,0,,2026-02-03,2026-02-03 20:18:43
1462919366,1147333,32880,Time series row count: condition_occurrence.2012,condition_occurrence.2012,1147333,2.0,2026-02-03,2026-02-03 21:03:02
1408607423,1147304,32880,Time series row count: observation.1992,observation.1992,1147304,1.0,2026-02-03,2026-02-03 21:04:44
1140725091,1147569,32880,Valid column name: measurement.provider_id,valid column name,0,,2026-02-03,2026-02-03 20:18:35
1467644938,1147314,32880,Final row count: person,person,1147314,109.0,2026-02-03,2026-02-03 21:02:48
1948039207,1147339,32880,Invalid row count: drug_exposure,,0,0.0,2026-02-03,2026-02-03 20:21:01
1034172582,1147339,32880,Vocab harmonization table transition: drug_exposure to drug_exposure,,0,12690.0,2026-02-03,2026-02-03 20:37:04
1541830181,1147637,32880,Final row count: visit_detail,visit_detail,1147637,0.0,2026-02-03,2026-02-03 21:02:53
929846989,1147339,32880,Time series row count: drug_exposure.1996,drug_exposure.1996,1147339,198.0,2026-02-03,2026-02-03 21:03:19
1750084728,1147330,32880,Date/datetime default value count: measurement.measurement_datetime,,0,0.0,2026-02-03,2026-02-03 20:59:58
1198371143,1147304,32880,Time series row count: observation.1996,observation.1996,1147304,1.0,2026-02-03,2026-02-03 21:04:47
1120433504,1147082,32880,Valid column name: procedure_occurrence.procedure_occurrence_id,valid column name,0,,2026-02-03,2026-02-03 20:18:47
